iter	Passed	Remaining
407	4984	7232
408	4998	7223
409	5008	7206
410	5019	7193
411	5030	7179
412	5038	7161
413	5049	7147
414	5058	7131
415	5068	7115
416	5078	7100
417	5087	7084
418	5098	7069
419	5107	7053
420	5117	7038
421	5128	7024
422	5165	7045
423	5204	7070
424	5229	7075
425	5267	7097
426	5281	7086
427	5291	7071
428	5300	7054
429	5310	7039
430	5321	7024
431	5331	7009
432	5342	6995
433	5351	6979
434	5366	6970
435	5386	6968
436	5400	6957
437	5412	6945
438	5425	6932
439	5433	6915
440	5445	6902
441	5456	6888
442	5478	6888
443	5488	6873
444	5497	6856
445	5512	6847
446	5524	6834
447	5533	6818
448	5544	6804
449	5556	6791
450	5565	6775
451	5578	6763
452	5600	6763
453	5615	6753
454	5628	6741
455	5644	6733
456	5663	6729
457	5675	6716
458	5685	6701
459	5696	6687
460	5707	6673
461	5716	6657
462	5726	6642
463	5738	6628
464	5749	6615
465	5759	6600
466	5771	6587
467	5784	6575
468	5792	6558
469	5803	6543
470	5812	6527
471	5822	6513
472	5835	6502
473	5851	6492
474	5868	6486
475	5877	6470
476	5888	6456
477	5899	6442
478	5908	6426
479	5919	6412
480	5928	6396
481	5939	6382
482	5950	6369
483	5961	6355
484	5971	6340
485	5984	6329
486	6022	6344
487	6037	6334
488	6053	6326
489	6068	6316
490	6088	6311
491	6103	6301
492	6138	6312
493	6160	6310
494	6173	6297
495	6189	6289
496	6202	6277
497	6218	6268
498	6233	6258
499	6246	6246
500	6260	6235
501	6275	6225
502	6285	6210
503	6298	6198
504	6335	6210
505	6348	6198
506	6363	6187
507	6374	6174
508	6384	6158
509	6396	6145
510	6406	6130
511	6415	6114
512	6425	6099
513	6434	6083
514	6445	6070
515	6456	6055
516	6464	6039
517	6492	6040
518	6503	6027
519	6513	6012
520	6523	5997
521	6533	5982
522	6543	5968
523	6554	5954
524	6564	5939
525	6581	5931
526	6592	5917
527	6604	5904
528	6613	5888
529	6624	5874
530	6633	5858
531	6643	5844
532	6653	5829
533	6677	5827
534	6688	5813
535	6697	5797
536	6723	5796
537	6754	5800
538	6777	5796
539	6788	5782
540	6799	5768
541	6809	5754
542	6821	5740
543	6839	5733
544	6849	5718
545	6858	5703
546	6869	5688
547	6877	5672
548	6889	5659
549	6899	5645
550	6908	5629
551	6920	5616
552	6929	5601
553	6941	5587
554	6952	5574
555	6969	5565
556	6978	5550
557	6989	5536
558	7000	5522
559	7010	5508
